Type,Address,Price,Date added,Property Card
semi-detached house for sale,"Worple Road, West Wimbledon","£850,000",19/07/2022,Dexters
end of terrace house for sale,"Aylward Road, Merton Park, London, SW20 9AH","£849,950",23/05/2022,Tennison
terraced house for sale,"Clifton Park Avenue, Raynes Park","£835,000",14/08/2022,Kinleigh
semi-detached house for sale,"Grand Drive, Raynes Park","£825,000",23/08/2022,Ellisons
end of terrace house for sale,"Windermere Avenue, London","£825,000",19/08/2022,Turners
end of terrace house for sale,"Granville Road, London, SW19","£800,000",15/07/2022,Goodfellows
terraced house for sale,"Chase Side Avenue, Wimbledon","£800,000",23/07/2022,Kinleigh
terraced house for sale,"Briscoe Road, London, SW19","£775,000",01/08/2022,Winkworth
house for sale,"Mill Road, Wimbledon","£770,000",14/12/2021,Dexters
terraced house for sale,"Whatley Avenue, London, SW20 9NZ","£750,000",Added yesterday,Tennison
end of terrace house for sale,"Southway, Raynes Park","£750,000",08/08/2022,Kinleigh
terraced house for sale,"Havelock Road, London, SW19","£750,000",25/05/2022,Strike
semi-detached house for sale,"Fortescue Road, London SW19","£540,000",30/06/2022,ludlowthompson
terraced house for sale,"Sydney Road, Raynes Park","£900,000",26/08/2022,Ellisons
terraced house for sale,"Melbourne Road, Old Merton Park","£900,000",19/08/2022,Ellisons
semi-detached house for sale,"Oak Park Gardens, Wimbledon, SW19 6AR","£899,950",30/05/2022,Tennison
semi-detached house for sale,"Westcoombe Avenue, London","£895,000",28/07/2022,Yopa
end of terrace house for sale,"Meadow Close, Raynes Park","£875,000",16/07/2022,Kinleigh
end of terrace house for sale,"Cannon Close, Raynes Park","£875,000",28/04/2022,Kinleigh
end of terrace house for sale,"Graham Road, Wimbledon, SW19","£875,000",10/08/2022,All
terraced house for sale,"Milton Road, Wimbledon","£875,000",12/07/2022,Dexters
end of terrace house for sale,"Pilsdon Close, SW19","£875,000",11/08/2022,Douglas
house for sale,"Clive Road, Wimbledon","£875,000",25/05/2022,Jacksons
house for sale,"Bronson Road, Raynes Park, SW20","£865,000",16/07/2022,Fuller
house for sale,"Effra Road, Wimbledon","£850,000",29/04/2022,Dexters
semi-detached house for sale,"Worple Road, West Wimbledon","£850,000",19/07/2022,Dexters
end of terrace house for sale,"Aylward Road, Merton Park, London, SW20 9AH","£849,950",23/05/2022,Tennison
terraced house for sale,"Clifton Park Avenue, Raynes Park","£835,000",14/08/2022,Kinleigh
semi-detached house for sale,"Grand Drive, Raynes Park","£825,000",23/08/2022,Ellisons
end of terrace house for sale,"Windermere Avenue, London","£825,000",19/08/2022,Turners
end of terrace house for sale,"Granville Road, London, SW19","£800,000",15/07/2022,Goodfellows
terraced house for sale,"Chase Side Avenue, Wimbledon","£800,000",23/07/2022,Kinleigh
terraced house for sale,"Briscoe Road, London, SW19","£775,000",01/08/2022,Winkworth
house for sale,"Mill Road, Wimbledon","£770,000",14/12/2021,Dexters
terraced house for sale,"Whatley Avenue, London, SW20 9NZ","£750,000",Added yesterday,Tennison
end of terrace house for sale,"Southway, Raynes Park","£750,000",08/08/2022,Kinleigh
terraced house for sale,"Havelock Road, London, SW19","£750,000",25/05/2022,Strike
semi-detached house for sale,"Fortescue Road, London SW19","£540,000",30/06/2022,ludlowthompson
terraced house for sale,"Polesden Gardens, Raynes Park, SW20","£530,000",26/08/2022,Hawes
terraced house for sale,"Willmore End, Wimbledon","£525,000",14/06/2022,Kinleigh
terraced house for sale,"Polesden Gardens, Wimbledon, SW20","£500,000",22/07/2022,Hawes
